(66, 'Core i9-12900', 'FCLGA1700', 21.18, '16 / 24', 2022, '65 W')
(67, 'Core i5-14600', 'FCLGA1700', 20.77, '14 / 20', 2024, '65 W')
(68, 'Ryzen 9 3900XT', 'AMD Socket AM4', 20.36, '12 / 24', 2020, '105 W')
(69, 'Ryzen 9 3900X', 'AMD Socket AM4', 20.32, '12 / 24', 2019, '125 W')
(70, 'Core i9-10980XE', 'FCLGA2066', 20.19, '18 / 36', 2019, '165 W')
(71, 'Ryzen Threadripper 2990WX', 'Socket TR4', 20.11, '32 / 64', 2018, '250 W')
(72, 'Core i5-13600', 'FCLGA1700', 19.77, '14 / 20', 2023, '65 W')
(73, 'Core i5-13500', 'FCLGA1700', 19.73, '14 / 20', 2023, '65 W')
(74, 'Ryzen 7 8700F', 'AMD Socket AM5', 19.62, '8 / 16', 2024, '65 W')
(75, 'Core i5-14500', 'FCLGA1700', 19.6, '14 / 20', 2024, '65 W')
(76, 'Ryzen 7 8700G', 'AMD Socket AM5', 19.6, '8 / 16', 2024, '65 W')
(77, 'Core Ultra 5 225', 'FCLGA1851', 19.6, '10 / 10', 2025, '65 W')
(78, 'Ryzen 9 PRO 3900', 'Socket AM4', 19.5, '12 / 24', 2019, '65 W')
(79, 'Core i7-14700T', 'FCLGA1700', 19.4, '20 / 28', 2024, '35 W')
(80, 'Ryzen Threadripper 2970WX', 'Socket TR4', 19.38, '24 / 48', 2018, '250 W')
(81, 'Core Ultra 5 225F', 'FCLGA1851', 19.19, '10 / 10', 2025, '65 W')
(82, 'Ryzen 9 3900', 'AMD Socket AM4', 19.15, '12 / 24', 2019, '65 W')
(83, 'Core i7-12700', 'FCLGA1700', 19.09, '12 / 20', 2022, '65 W')
(84, 'Core i7-12700F', 'FCLGA1700', 19.05, '12 / 20', 2022, '65 W')
(85, 'Core i9-9960X', 'FCLGA2066', 18.89, '16 / 32', 2018, '165 W')
(86, 'Core i9-9990XE', 'Intel Socket 2066', 18.8, '14 / 28', 2018, '255 W')
(87, 'Ryzen 5 9600X', 'AMD Socket AM5', 18.74, '6 / 12', 2024, '65 W')
(88, 'Core i9-7980XE', 'FCLGA2066', 18.65, '18 / 36', 2017, '165 W')
(89, 'Core i9-12900T', 'FCLGA1700', 18.48, '16 / 24', 2022, '35 W')
(90, 'Core i7-12700E', 'Intel Socket 1700', 18.48, '12 / 20', 2022, '65 W')
