['255', 'Ryzen 7 7700', 'desktop', 'AMD Socket AM5', '21.59', '8 / 16', '2023', '65 W']
['256', 'Core i7-12700K', 'desktop', 'FCLGA1700', '21.57', '12 / 20', '2021', '125 W']
['261', 'Ryzen 9 5900', 'desktop', 'AMD Socket AM4', '21.39', '12 / 24', '2021', '65 W']
['262', 'Ryzen 7 7800X3D', 'desktop', 'AMD Socket AM5', '21.38', '8 / 16', '2023', '120 W']
['263', 'Core i7-12700KF', 'desktop', 'FCLGA1700', '21.37', '12 / 20', '2021', '125 W']
['267', 'Core i9-12900', 'desktop', 'FCLGA1700', '21.29', '16 / 24', '2022', '65 W']
['275', 'Core i5-14600', 'desktop', 'FCLGA1700', '20.80', '14 / 20', '2024', '65 W']
['284', 'Ryzen 9 3900XT', 'desktop', 'AMD Socket AM4', '20.38', '12 / 24', '2020', '105 W']
['285', 'Ryzen 9 3900X', 'desktop', 'AMD Socket AM4', '20.34', '12 / 24', '2019', '125 W']
['286', 'Core i9-10980XE', 'desktop', 'FCLGA2066', '20.30', '18 / 36', '2019', '165 W']
['287', 'Ryzen Threadripper 2990WX', 'desktop', 'Socket TR4', '20.14', '32 / 64', '2018', '250 W']
['293', 'Core i5-13600', 'desktop', 'FCLGA1700', '19.82', '14 / 20', '2023', '65 W']
['296', 'Core i5-13500', 'desktop', 'FCLGA1700', '19.77', '14 / 20', '2023', '65 W']
['297', 'Ryzen 7 8700G', 'desktop', 'AMD Socket AM5', '19.73', '8 / 16', '2024', '65 W']
['298', 'Ryzen 7 8700F', 'desktop', 'AMD Socket AM5', '19.65', '8 / 16', '2024', '65 W']
['299', 'Core i5-14500', 'desktop', 'FCLGA1700', '19.65', '14 / 20', '2024', '65 W']
['300', 'Core Ultra 5 225', 'desktop', 'FCLGA1851', '19.62', '10 / 10', '2025', '65 W']
['302', 'Ryzen 9 PRO 3900', 'desktop', 'Socket AM4', '19.53', '12 / 24', '2019', '65 W']
['305', 'Ryzen Threadripper 2970WX', 'desktop', 'Socket TR4', '19.41', '24 / 48', '2018', '250 W']
['306', 'Core i7-14700T', 'desktop', 'FCLGA1700', '19.38', '20 / 28', '2024', '35 W']
['312', 'Core Ultra 5 225F', 'desktop', 'FCLGA1851', '19.22', '10 / 10', '2025', '65 W']
['314', 'Ryzen 9 3900', 'desktop', 'AMD Socket AM4', '19.17', '12 / 24', '2019', '65 W']
['315', 'Core i7-12700', 'desktop', 'FCLGA1700', '19.12', '12 / 20', '2022', '65 W']
['316', 'Core i7-12700F', 'desktop', 'FCLGA1700', '19.07', '12 / 20', '2022', '65 W']
['321', 'Core i9-9960X', 'desktop', 'FCLGA2066', '18.91', '16 / 32', '2018', '165 W']
['323', 'Core i9-9990XE', 'desktop', 'Intel Socket 2066', '18.83', '14 / 28', '2018', '255 W']
['327', 'Ryzen 5 9600X', 'desktop', 'AMD Socket AM5', '18.77', '6 / 12', '2024', '65 W']
['329', 'Core i9-7980XE', 'desktop', 'FCLGA2066', '18.70', '18 / 36', '2017', '165 W']
['335', 'Core i9-12900T', 'desktop', 'FCLGA1700', '18.50', '16 / 24', '2022', '35 W']
['336', 'Core i7-12700E', 'desktop', 'Intel Socket 1700', '18.50', '12 / 20', '2022', '65 W']
['337', 'Ryzen Threadripper 2950X', 'desktop', 'Socket TR4', '18.42', '16 / 32', '2018', '180 W']
['343', 'Core i9-9980XE', 'desktop', 'FCLGA2066', '18.18', '18 / 36', '2018', '165 W']
['352', 'Core i5-14490F', 'desktop', 'Intel Socket 1700', '17.89', '10 / 16', '2024', '65 W']
['355', 'Core i9-7960X', 'desktop', 'FCLGA2066', '17.79', '16 / 32', '2017', '165 W']
['357', 'Ryzen 5 7600X', 'desktop', 'AMD Socket AM5', '17.76', '6 / 12', '2022', '105 W']
['360', 'Ryzen 7 5800XT', 'desktop', 'AMD Socket AM4', '17.68', '8 / 16', '2024', '105 W']
['361', 'Ryzen 7 5800X3D', 'desktop', 'AMD Socket AM4', '17.67', '8 / 16', '2022', '105 W']
['362', 'Core i7-13700T', 'desktop', 'FCLGA1700', '17.66', '16 / 24', '2023', '35 W']
['367', 'Core i9-9940X', 'desktop', 'FCLGA2066', '17.57', '14 / 28', '2018', '165 W']
['369', 'Core i5-13500E', 'desktop', 'Intel Socket 1700', '17.50', '14 / 20', '2023', '65 W']
['372', 'Core i5-12600KF', 'desktop', 'FCLGA1700', '17.41', '10 / 16', '2021', '125 W']
['373', 'Core i9-10940X', 'desktop', 'FCLGA2066', '17.40', '14 / 28', '2019', '165 W']
['375', 'Core i9-12900E', 'desktop', 'Intel Socket 1700', '17.38', '16 / 24', '2022', '65 W']
['379', 'Ryzen 7 5800X', 'desktop', 'AMD Socket AM4', '17.35', '8 / 16', '2020', '105 W']
